Chunk,Index
"Article 307

Own 307

Own funds requirements for pre-funded contributions to

the default fund of a CCP

An institution acting as a clearing member shall apply the

following

treatment

to

its

exposures arising from

its

contributions to the default fund of a CCP:

(a) it shall calculate the own funds requirement for its pre-

funded contributions to the default fund of a Q CCP in

accordance with the approach set out in Article 308;

(b) it shall calculate the own funds requirement for its pre-

funded contributions to the default fund of a non-qualifying

CCP in accordance with the approach set out in Article 309.",26
"Article 308

Own 308

Own funds requirements for pre-funded contributions to

the default fund of a Q CCP

1.

The exposure value for an institution's pre-funded

contribution to the default fund of a Q CCP (DFi) shall be the

amount paid in or the market value of the assets delivered by

that institution reduced by any amount of that contribution that

the Q CCP has already used to absorb its losses following the

default of one or more of its clearing members.

2.

An institution shall calculate the own funds requirement

(K i ) to cover the exposure arising from its pre-funded

contribution (DF i ) as follows:

K i ¼

Í

1 þ β ·

N

N – 2

Î

· DF i

DF CM

· K CM

where:

β

= the concentration factor communicated to the insti­

tution by the CCP;

N

= the number of clearing members communicated to the

institution by the CCP;

DF CM = the sum of pre-funded contributions of all clearing

members of the CCP ð

X

i

DF i

Þ communicated to the

institution by the CCP;

K CM

= the sum of the own funds requirements of all clearing

members of the CCP calculated in accordance with the

applicable

formula

specified

in paragraph 3 ð

X

i

K i

Þ.

3.

An institution shall calculate K CM as follows:

(a) where K CCP ≤ DF CCP , the institution shall use the following

formula:

K CM ¼ c 1 · DF

ä

CM ;

(b) where DF CCP < K CCP ≤DF*, the institution shall use the

following formula:

K CM ¼ c 2 · ðK CCP – DF CCP

Þ þ c 1 · ðDF

ä – K CCP

Þ;

(c) where DF* < K CCP , the institution shall use the following

formula:

K CM ¼ c 2 · μ · ðK CCP – DF

ä

Þ þ c 2 · DF

ä

CM

where:

DF CCP = the pre-funded financial resources of the CCP

communicated to the institution by the CCP;

EN

L 176/192

Official Journal of the European Union

27.6.2013

K CCP

= the hypothetical capital of the CCP communicated to

the institution by the CCP;

DF*

= DF CCP þ DF

ä

CM ;

DF

ä

CM = DF CM – 2 · DF i ;

DF i

= the average pre-funded contribution, 1

N · DF CM ,

communicated to the institution by the CCP;

c 1

= a

capital

factor

equal

to

max

(

1:6%

Ê DF

ä

K CCP

Ì 0:3 ; 0:16%

)

c 2

= a capital factor equal to 100 %;

μ

= 1,2.

4.

An institution shall calculate the risk weighted exposure

amounts for exposures arising from an institution's pre-funded

contribution for the purposes of Article 92(3) as the own funds

requirement (K i ) determined in accordance with paragraph 2

multiplied by 12,5.

5.

Where K CCP is equal to zero, institutions shall use the

value for c1 of 0,16 % for the purpose of the calculation in

paragraph 3.",27
"Article 309

Own 309

Own funds requirements for pre-funded contributions to

the default fund of a non-qualifying CCP and for unfunded

contributions to a non-qualifying CCP

1.

An institution shall apply the following formula to

calculate the own funds requirement (K i ) for the exposures

arising from its pre-funded contributions to the default fund

of a non-qualifying CCP (DF i ) and from unfunded contributions

(UC i ) to such CCP:

K i ¼ c2 · μ · ðDF i þ UC i

Þ

where c 2 ·and μ are defined as in Article 308(3).

2.

For the purpose of paragraph 1, unfunded contributions

means contributions that an institution acting as a clearing

member has contractually committed to provide to a CCP

after the CCP has depleted its default fund to cover the losses

it incurred following the default of one or more of its clearing

members.

3.

An institution shall calculate the risk weighted exposure

amounts for exposures arising from an institution's pre-funded

contribution for the purposes of Article 92(3) as the own funds

requirement (K i ) determined in accordance with paragraph 1

multiplied by 12,5.",28
"Article 133

Equity 133

Equity exposures

1.

The following exposures shall be considered equity

exposures:

(a) non-debt exposures conveying a subordinated, residual

claim on the assets or income of the issuer;

(b) debt exposures and other securities, partnerships, deriva­

tives, or other vehicles, the economic substance of which

is similar to the exposures specified in point (a).

2.

Equity exposures shall be assigned a risk weight of 100 %,

unless they are required to be deducted in accordance with Part

Two, assigned a 250 % risk weight in accordance with",29
"Article 48(4), 48(4), assigned a 1 250 % risk weight in accordance

with Article 89(3) or treated as high risk items in accordance

with Article 128.

3.

Investments in equity or regulatory capital instruments

issued by institutions shall be classified as equity claims,

unless deducted from own funds or attracting a 250 % risk

weight under Article 48(4) or treated as high risk items in

accordance with Article 128.",30
"Article 232

Other 232

Other funded credit protection

1.

Where the conditions set out in Article 212(1) are met,

deposits with third party institutions may be treated as a

guarantee by the third party institution.

2.

Where the conditions set out in Article 212(2) are met,

institutions shall subject the portion of the exposure collat­

eralised by the current surrender value of life insurance

policies pledged to the lending institution to the following

treatment:

(a) where the exposure is subject to the Standardised Approach,

it shall be risk-weighted by using the risk weights specified

in paragraph 3;

(b) where the exposure is subject to the IRB Approach but not

subject to the institution's own estimates of LGD, it shall be

assigned an LGD of 40 %.

In the event of a currency mismatch, institutions shall reduce

the current surrender value in accordance with Article 233(3),

the value of the credit protection being the current surrender

value of the life insurance policy.

3.

For the purposes of point (a) of paragraph 2, institutions

shall assign the following risk weights on the basis of the risk

weight assigned to a senior unsecured exposure to the under­

taking providing the life insurance:

(a) a risk weight of 20 %, where the senior unsecured exposure

to the undertaking providing the life insurance is assigned a

risk weight of 20 %;

(b) a risk weight of 35 %, where the senior unsecured exposure

to the undertaking providing the life insurance is assigned a

risk weight of 50 %;

(c) a risk weight of 70 %, where the senior unsecured exposure

to the undertaking providing the life insurance is assigned a

risk weight of 100 %;

(d) a risk weight of 150 %, where the senior unsecured

exposure to the undertaking providing the life insurance is

assigned a risk weight of 150 %.

4.

Institutions may treat instruments repurchased on request

that are eligible under Article 200(c) as a guarantee by the

issuing institution. The value of the eligible credit protection

shall be the following:

(a) where the instrument will be repurchased at its face value,

the value of the protection shall be that amount;

(b) where the instrument will be repurchased at market price,

the value of the protection shall be the value of the

instrument valued in the same way as the debt securities

that meet the conditions in Article 197(4).

S u b - S e c t i o n 2

U n f u n d e d c r e d i t p r o t e c t i o n",31
"Article 48

Threshold 48

Threshold exemptions from deduction from Common

Equity Tier 1 items

1.

In making the deductions required pursuant to points (c)

and (i) of Article 36(1), institutions are not required to deduct

the amounts of the items listed in points (a) and (b) of this

paragraph which in aggregate are equal to or less than the

threshold amount referred to in paragraph 2:

(a) deferred tax assets that are dependent on future profitability

and arise from temporary differences, and in aggregate are

equal to or less than 10 % of the Common Equity Tier 1

items of the institution calculated after applying the

following:

(i) Articles 32 to 35;

(ii) points (a) to (h), points (k)(ii) to (v) and point (l) of",32
"Article 36(1), 36(1), excluding deferred tax assets that rely on

future profitability and arise from temporary differences.

(b) where an institution has a significant investment in a

financial sector entity, the direct, indirect and synthetic

holdings of that institution of the Common Equity Tier 1

instruments of those entities that in aggregate are equal to

or less than 10 % of the Common Equity Tier 1 items of the

institution calculated after applying the following:

(i) Article 32 to 35;

(ii) points (a) to (h), points (k)(ii) to (v) and point (l), of",33
"Article 36(1) 36(1) excluding deferred tax assets that rely on

future profitability and arise from temporary differences.

2.

For the purposes of paragraph 1, the threshold amount

shall be equal to the amount referred to in point (a) of this

paragraph multiplied by the percentage referred to in point (b)

of this paragraph:

(a) the residual amount of Common Equity Tier 1 items after

applying the adjustments and deductions in Articles 32 to

36 in full and without applying the threshold exemptions

specified in this Article;

(b) 17,65 %.

3.

For the purposes of paragraph 1, an institution shall

determine the portion of deferred tax assets in the total

amount of items that is not required to be deducted by

dividing the amount specified in point (a) of this paragraph

by the amount specified in point (b) of this paragraph:

(a) the amount of deferred tax assets that are dependent on

future profitability and arise from temporary differences,

and in aggregate are equal to or less than 10 % of the

Common Equity Tier 1 items of the institution;

(b) the sum of the following:

(i) the amount referred to in point (a);

(ii) the amount of direct, indirect and synthetic holdings by

the institution of the own funds instruments of financial

sector entities in which the institution has a significant

investment, and in aggregate are equal to or less than

10 % of the Common Equity Tier 1 items of the insti­

tution.

The proportion of significant investments in the total amount

of items that is not required to be deducted is equal to one

minus the proportion referred to in the first subparagraph.

4.

The amounts of the items that are not deducted pursuant

to paragraph 1 shall be risk weighted at 250 %.

EN

L 176/46

Official Journal of the European Union

27.6.2013",34
"Article 471

Exemption 471

Exemption from

Deduction

of

Equity Holdings

in

Insurance Companies from Common Equity Tier 1 Items

1.

By way of derogation from Article 49(1), during the

period from 1 January 2014 to 31 December 2022,

competent authorities may permit institutions to not deduct

equity holdings in insurance undertakings, reinsurance under­

takings and insurance holding companies where the following

conditions are met:

(a) the conditions laid down in points (a), (c) and (e) of",35
"Article 49(1);

(b) 49(1);

(b) the competent authorities are satisfied with the level of risk

control and financial analysis procedures specifically

adopted by the institution in order to supervise the

investment in the undertaking or holding company;

(c) the equity holdings of the institution in the insurance

undertaking, reinsurance undertaking or insurance holding

company do not exceed 15 % of the Common Equity Tier 1

instruments

issued by

that

insurance

entity

as

at

31 December 2012 and during the period from 1 January

2013 to 31 December 2022;

(d) the amount of the equity holding which is not deducted

does not exceed the amount held in the Common Equity

Tier 1 instruments in the insurance undertaking, reinsurance

undertaking

or

insurance

holding

company

as

at

31 December 2012.

2.

The equity holdings which are not deducted pursuant to

paragraph 1 shall qualify as exposures and be risk weighted at

370 %.",36
"Article 379

Free 379

Free deliveries

1.

An institution shall be required to hold own funds, as set

out in Table 2, where the following occurs:

(a) it has paid for securities, foreign currencies or commodities

before receiving them or it has delivered securities, foreign

currencies or commodities before receiving payment for

them;

(b) in the case of cross-border transactions, one day or more

has elapsed since it made that payment or delivery.

Table 2

Capital treatment for free deliveries

Column 1

Column 2

Column 3

Column 4

Transaction Type

Up

to

first

contractual

payment or delivery leg

From

first

contractual

payment or delivery leg up

to four days after second

contractual

payment

or

delivery leg

From 5 business days post

second contractual payment

or delivery leg until extinction

of the transaction

Free delivery

No capital charge

Treat as an exposure

Treat as an exposure risk

weighted at 1 250 %

2.

In applying a risk weight to free delivery exposures treated according to Column 3 of Table 2, an

institution using the Internal Ratings Based approach set out in Part Three, Title II, Chapter 3 may assign

PDs to counterparties, for which it has no other non-trading book exposure, on the basis of the counter­

party's external rating. Institutions using own estimates of 'LGDs' may apply the LGD set out in",37
"Article 161(1) 161(1) to free delivery exposures treated according to Column 3 of Table 2 provided that they

apply it to all such exposures. Alternatively, an institution using the Internal Ratings Based approach set out

in Part Three, Title II, Chapter 3 may apply the risk weights of the Standardised Approach, as set out in Part

Three, Title II, Chapter 2 provided that it applies them to all such exposures or may apply a 100 % risk

weight to all such exposures.

If the amount of positive exposure resulting from free delivery transactions is not material, institutions may

apply a risk weight of 100 % to these exposures, except where a risk weight of 1 250 % in accordance with

Column 4 of Table 2 in paragraph 1 is required.

EN

27.6.2013

Official Journal of the European Union

L 176/223

3.

As an alternative to applying a risk weight of 1 250 % to

free delivery exposures acc Article 113

Calculation of risk weighted exposure amounts

1.

To calculate risk-weighted exposure amounts, risk weights

shall be applied to all exposures, unless deducted from own

funds, in accordance with the provisions of Section 2. The

application of risk weights shall be based on the exposure

class to which the exposure is assigned and, to the extent

specified in Section 2, its credit quality. Credit quality may be

determined by reference to the credit assessments of ECAIs or

the credit assessments of Export Credit Agencies in accordance

with Section 3.

2.

For the purposes of applying a risk weight, as referred to

in paragraph 1, the exposure value shall be multiplied by the

risk weight specified or determined in accordance with Section

2.

3.

Where an exposure is subject to credit protection the risk

weight applicable to that item may be amended in accordance

with Chapter 4.

4.

Risk-weighted exposure amounts for securitised exposures

shall be calculated in accordance with Chapter 5.

5.

Exposures for which no calculation is provided in Section

2 shall be assigned a risk-weight of 100 %.

6.

With the exception of exposures giving rise to Common

Equity Tier 1, Additional Tier 1 or Tier 2 items, an institution

may, subject to the prior approval of the competent authorities,

decide not to apply the requirements of paragraph 1 of this",38
"Article to to the exposures of that institution to a counterparty

which is its parent undertaking, its subsidiary, a subsidiary of its

parent undertaking or an undertaking linked by a relationship

within the meaning of Article 12(1) of Directive 83/349/EEC.

Competent authorities are empowered to grant approval if the

following conditions are fulfilled:

(a) the counterparty is an institution, a financial holding

company or a mixed financial holding company, financial

institution, asset management company or ancillary services

undertaking subject to appropriate prudential requirements;

(b) the counterparty is included in the same consolidation as

the institution on a full basis;

(c) the counterparty is subject to the same risk evaluation,

measurement and control procedures as the institution;

(d) the counterparty is established in the same Member State as

the institution;

(e) there is no current or foreseen material practical or legal

impediment to the prompt transfer of own funds or

repayment of liabilities from the counterparty to the insti­

tution.

Where the institution, in accordance with this paragraph, is

authorised not to apply the requirements of paragraph 1, it

may assign a risk weight of 0 %.

7.

With the exception of exposures giving rise to Common

Equity Tier 1, Additional Tier 1 and Tier 2 items, institutions

may, subject to the prior permission of the competent auth­

orities, not apply the requirements of paragraph 1 of this Article

to exposures to counterparties with which the institution has

entered into an institutional protection scheme that is a

contractual or statutory liability arrangement which protects

those institutions and in particular ensures their liquidity and

solvency to avoid bankruptcy where necessary. Competent auth­

orities are empowered to grant permission if the following

conditions are fulfilled:

(a) the requirements set out in points (a), (d) and (e) of

paragraph 6 are met;

(b) the arrangements ensure that the institutional protection

scheme is able to grant support necessary under its

commitment from funds readily available to it;

(c) the institutional protection scheme disposes of suitable and

uniformly stipulated systems for the monitoring and clas­

sification of risk, which gives a complete overview of the

risk situations of all the individual members and the insti­

tutional protection scheme as a whole, with corresponding

possibilities to take influence; those systems shall suitably

monitor

defaulted

exposures

in

accordance

with",39
"Article 178(1);

EN

27.6.2013

Official 178(1);

EN

27.6.2013

Official Journal of the European Union

L 176/75

(d) the institutional protection scheme conducts its own risk

review which is communicated to the individual members;

(e) the institutional protection scheme draws up and publishes

on an annual basis, a consolidated report comprising the

balance sheet, the profit-and-loss account, the situation

report and the risk report, concerning the institutional

protection scheme as a whole, or a report comprising the

aggregated balance sheet, the aggregated profit-and-loss

account, the situation report and the risk report, concerning

the institutional protection scheme as a whole;

(f) members of the institutional protection scheme are obliged

to give advance notice of at least 24 months if they wish to

end the institutional protection scheme;

(g) the multiple use of elements eligible for the calculation of

own funds (hereinafter referred to as 'multiple gearing') as

well as any inappropriate creation of own funds between

the members of the institutional protection scheme shall be

eliminated;

(h) The institutional protection scheme shall be based on a

broad membership of credit institutions of a predominantly

homogeneous business profile;

(i) the adequacy of the systems referred to in points (c) and (d)

is approved and monitored at regular intervals by the

relevant competent authorities.

Where the institution, in accordance with this paragraph,

decides not to apply the requirements of paragraph 1, it may

assign a risk weight of 0 %.

S e c t i o n 2

R i s k w e i g h t s

ording to Column 4 of Table 2 in

paragraph 1, institutions may deduct the value transferred plus

the current positive exposure of those exposures from Common

Equity Tier 1 items in accordance with point (k) of",40
Article 36(1). 36(1).,41
"Article 132

Exposures 132

Exposures in the form of units or shares in CIUs

1.

Exposures in the form of units or shares in CIUs shall be

assigned a risk weight of 100 %, unless the institution applies

the credit risk assessment method under paragraph 2, or the

look-through approach in paragraph 4 or the average risk

weight approach under paragraph 5 when the conditions in

paragraph 3 are met.

2.

Exposures in the form of units or shares in CIUs for

which a credit assessment by a nominated ECAI is available

shall be assigned a risk weight according to Table 8 which

corresponds to the credit assessment of the ECAI in accordance

with Article 136.

Table 8

Credit quality step

1

2

3

4

5

6

Risk weight

20 %

50 %

100 %

100 %

150 %

150 %

3.

Institutions may determine the risk weight for a CIU in

accordance with paragraphs 4 and 5, if the following eligibility

criteria are met:

(a) the CIU is managed by a company that is subject to super­

vision in a Member State or, in the case of third country

CIU, where the following conditions are met:

EN

27.6.2013

Official Journal of the European Union

L 176/85

(i) the CIU is managed by a company which is subject to

supervision that is considered equivalent to that laid

down in Union law;

(ii) cooperation between competent authorities is suffi­

ciently ensured;

(b) the CIU's prospectus or equivalent document includes the

following:

(i) the categories of assets in which the CIU is authorised to

invest;

(ii) if investment limits apply, the relative limits and the

methodologies to calculate them;

(c) the business of the CIU is reported on at least an annual

basis to enable an assessment to be made of the assets and

liabilities, income and operations over the reporting period.

For the purposes of point (a), the Commission may adopt, by

way of implementing acts, and subject to the examination

procedure referred to in Article 464(2), a decision as to

whether a third country applies supervisory and regulatory

arrangements at least equivalent to those applied in the

Union. In the absence of such a decision, until 1 January

2015, institutions may continue to apply the treatment set

out in this paragraph to exposures in the form of units or

shares of CIUs from third countries where the relevant

competent authorities had approved the third country as

eligible for that treatment before 1 January 2014.

4.

Where the institution is aware of the underlying exposures

of a CIU, it may look through to those underlying exposures in

order to calculate an average risk weight for its exposures in the

form of units or shares in the CIUs in accordance with the

methods set out in this Chapter. Where an underlying

exposure of the CIU is itself an exposure in the form of

shares in another CIU which fulfils the criteria of paragraph

3, the institution may look through to the underlying

exposures of that other CIU.

5.

Where the institution is not aware of the underlying

exposures of a CIU, it may calculate an average risk weight

for its exposures in the form of a unit or share in the CIU in

accordance with the methods set out in this Chapter subject to

the assumption that the CIU first invests, to the maximum

extent allowed under its mandate, in the exposure classes

attracting the highest capital requirement, and then continues

making investments in descending order until the maximum

total investment limit is reached.

Institutions may rely on the following third parties to calculate

and report, in accordance with the methods set out in para­

graphs 4 and 5, a risk weight for the CIU:

(a) the depository institution or the depository financial insti­

tution of the CIU provided that the CIU exclusively invests

in securities and deposits all securities at that depository

institution or the financial institution;

(b) for CIUs not covered by point (a), the CIU management

company, provided that the CIU management company

meets the criteria set out in paragraph 3(a).

The correctness of the calculation referred to in the first

subparagraph shall be confirmed by an external auditor.",42
"Article 112

Exposure 112

Exposure classes

Each exposure shall be assigned to one of the following

exposure classes:

(a) exposures to central governments or central banks;

(b) exposures to regional governments or local authorities;

(c) exposures to public sector entities;

(d) exposures to multilateral development banks;

(e) exposures to international organisations;

(f)

exposures to institutions;

(g) exposures to corporates;

(h) retail exposures;

(i)

exposures secured by mortgages on immovable property;

(j)

exposures in default;

EN

L 176/74

Official Journal of the European Union

27.6.2013

(k) exposures associated with particularly high risk;

(l)

exposures in the form of covered bonds;

(m) items representing securitisation positions;

(n) exposures to institutions and corporates with a short-term

credit assessment;

(o) exposures in the form of units or shares in collective

investment undertakings ('CIUs');

(p) equity exposures;

(q) other items.",43
