Section,Row,Index
0480,"15.2	Indirect holdings of CET1 capital of financial sector entities where the institution has a significant investment
Point (114) of Article 4(1) and Articles 44 and 45 CRR",270
0490,"15.2.1	Gross indirect holdings of CET1 capital of financial sector entities where the institution has a significant investment
Point (114) of Article 4(1) and Articles 44 and 45 CRR
The amount to be reported shall be the indirect holdings in the trading book of the capital instruments of financial sector entities that take the form of holdings of index securities. It shall be obtained by calculating the underlying exposure to the capital instruments of the financial sector entities in the indices.
Holdings which are treated as reciprocal cross holdings in accordance with point (g) of Article 36(1) CRR shall not be included.",271
0500,"15.2.2	(-) Permitted offsetting short positions in relation to the indirect gross holdings included above
Point (114) of Article 4(1) and Article 45 CRR
Point (a) of Article 45 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",272
0501,"15.3	Synthetic holdings of CET1 capital of financial sector entities where the institution has a significant investment
Point (126) of Article 4(1) and Articles 44 and 45 CRR",273
0502,"15.3.1	Gross synthetic holdings of CET1 capital of financial sector entities where the institution has a significant investment
Point (126) of Article 4(1) and Articles 44 and 45 CRR",274
0503,"15.3.2	(-) Permitted offsetting short positions in relation to the synthetic gross holdings included above
Point (126) of Article 4(1) and Article 45 CRR.
Point (a) of Article 45 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short position is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",275
0504,"Investments in CET1 capital of financial sector entities where the institution has a significant investment - subject to a risk weight of 250%
Article 48(4) CRR
The amount of significant investments in CET1 capital of financial sector entities that are not deducted pursuant to Article 48(1) CRR, but subject to a risk weight of 250% in accordance with Article 48(4) CRR.
The amount reported shall be the amount of significant investments before the application of the risk weight.",276
0510,"16 Holdings of AT1 capital of financial sector entities where the institution has a significant investment, net of short positions
Articles 58 and 59 CRR",277
0520,"16.1	Direct holdings of AT1 capital of financial sector entities where the institution has a significant investment
Articles 58 and 59 CRR",278
0530,"16.1.1	Gross direct holdings of AT1 capital of financial sector entities where the institution has a significant investment
Article 58 CRR
Direct holdings of AT1 capital of financial sector entities where the institution has a significant investment, excluding:
a)	Underwriting positions held for 5 working days or fewer (point (d) of Article 56 CRR); and
b)	Holdings which are treated as reciprocal cross holdings in accordance with point (b) of Article 56 CRR.",279
0540,"16.1.2	(-) Permitted offsetting short positions in relation to the direct gross holdings included above
Article 59 CRR
Point (a) of Article 59 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",280
0550,"16.2	Indirect holdings of AT1 capital of financial sector entities where the institution has a significant investment
Point (114) of Article 4(1) and Articles 58 and 59 CRR",281
0560,"16.2.1	Gross indirect holdings of AT1 capital of financial sector entities where the institution has a significant investment
Point (114) of Article 4(1) and Articles 58 and 59 CRR
The amount to be reported shall be the indirect holdings in the trading book of the capital instruments of financial sector entities that take the form of holdings of index securities. It shall be obtained by calculating the underlying exposure to the capital instruments of the financial sector entities in the indices.
Holdings which are treated as reciprocal cross holdings in accordance with point (b) of Article 56 CRR shall not be included.",282
0570,"16.2.2	(-) Permitted offsetting short positions in relation to the indirect gross holdings included above
Point (114) of Article 4(1) and Article 59 CRR
Point (a) of Article 59 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",283
0571,"16.3	Synthetic holdings of AT1 capital of financial sector entities where the institution has a significant investment
Point (126) of Article 4(1) and Articles 58 and 59 CRR",284
0572,"16.3.1	Gross synthetic holdings of AT1 capital of financial sector entities where the institution has a significant investment
Point (126) of Article 4(1) and Articles 58 and 59 CRR",285
0573,"16.3.2	(-) Permitted offsetting short positions in relation to the synthetic gross holdings included above
Point (126) of Article 4(1) and Article 59 CRR.
Point (a) of Article 59 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short position is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",286
0580,"17 Holdings of T2 capital of financial sector entities where the institution has a significant investment, net of short positions
Articles 68 and 69 CRR",287
0590,"17.1	Direct holdings of T2 capital of financial sector entities where the institution has a significant investment
Articles 68 and 69 CRR",288
0600,"17.1.1	Gross direct holdings of T2 capital of financial sector entities where the institution has a significant investment
Article 68 CRR
Direct holdings of T2 capital of financial sector entities where the institution has a significant investment, excluding:
a)	Underwriting positions held for 5 working days or fewer (point (d) of Article 66 CRR); and 
b)	Holdings which are treated as reciprocal cross holdings in accordance with point (b) of Article 66 CRR",289
0610,"17.1.2	(-) Permitted offsetting short positions in relation to the direct gross holdings included above
Article 69 CRR
Point (a) of Article 69 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",290
0620,"17.2	Indirect holdings of T2 capital of financial sector entities where the institution has a significant investment
Point (114) of Article 4(1) and Articles 68 and 69 CRR",291
0630,"17.2.1	Gross indirect holdings of T2 capital of financial sector entities where the institution has a significant investment
Point (114) of Article 4(1) and Articles 68 and 69 CRR
The amount to be reported shall be the indirect holdings in the trading book of the capital instruments of financial sector entities that take the form of holdings of index securities. It shall be obtained by calculating the underlying exposure to the capital instruments of the financial sector entities in the indices.
Holdings which are treated as reciprocal cross holdings in accordance with point (b) of Article 66 CRR shall not be included",292
0640,"17.2.2	(-) Permitted offsetting short positions in relation to the indirect gross holdings included above
Point (114) of Article 4(1) and Article 69 CRR
Point (a) of Article 69 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",293
0641,"17.3	Synthetic holdings of T2 capital of financial sector entities where the institution has a significant investment
Point (126) of Article 4(1) and Articles 68 and 69 CRR",294
0642,"17.3.1	Gross synthetic holdings of T2 capital of financial sector entities where the institution has a significant investment
Point (126) of Article 4(1) and Articles 68 and 69 CRR",295
0643,"17.3.2	(-) Permitted offsetting short positions in relation to the synthetic gross holdings included above
Point (126) of Article 4(1) and Article 69 CRR.
Point (a) of Article 69 CRR allows offsetting short positions in the same underlying exposure provided the maturity date of the short position is either the same or later than the maturity date of the long position or the residual maturity of the short position is at least one year.",296
0650,"18 Risk weighted exposures of CET1 holdings in financial sector entities which are not deducted from the institution's CET1 capital
Articles 46(4), 48(4) and 49(4) CRR",297
0660,"19 Risk weighted exposures of AT1 holdings in financial sector entities which are not deducted from the institution's AT1 capital
Article 60(4) CRR",298
0670,"20 Risk weighted exposures of T2 holdings in financial sector entities which are not deducted from the institution's T2 capital
Article 70(4) CRR",299
0680,"21	Holdings on CET1 Capital Instruments of financial sector entities where the institution does not have a significant investment temporary waived
Article 79 CRR
A competent authority may waive on a temporary basis the provisions on deductions from CET1 due to holdings on instruments of a specific financial sector entity, where it deems those holdings to be for the purposes of a financial assistance operation designed to reorganise and save that entity.
Note that those instruments shall also be reported on item 12.1.",300
0690,"22	Holdings on CET1 Capital Instruments of financial sector entities where the institution has a significant investment temporary waived
Article 79 CRR
A competent authority may waive the provisions on deductions from CET1 due to holdings on instruments of a specific financial sector entity, when it deems those holdings to be for the purposes of a financial assistance operation designed to reorganise and save that entity.
Note that those instruments shall also be reported on item 15.1.",301
0700,"23	Holdings on AT1 Capital Instruments of financial sector entities where the institution does not have a significant investment temporary waived
Article 79 CRR
A competent authority may waive on a temporary basis the provisions on deductions from AT1 due to holdings on instruments of a specific financial sector entity, when it deems those holdings to be for the purposes of a financial assistance operation designed to reorganise and save that entity.
Note that these instruments shall also be reported on item 13.1.",302
0710,"24	Holdings on AT1 Capital Instruments of financial sector entities where the institution has a significant investment temporary waived
Article 79 CRR
A competent authority may waive on a temporary basis the provisions on deductions from AT1 due to holdings on instruments of a specific financial sector entity, when it deems those holdings to be for the purposes of a financial assistance operation designed to reorganise and save that entity.
Note that these instruments shall also be reported on item 16.1.",303
0720,"25	Holdings on T2 Capital Instruments of financial sector entities where the institution does not have a significant investment temporary waived
Article 79 CRR
A competent authority may waive the provisions on deductions from T2 due to holdings on instruments of a specific financial sector entity, when it deems those holdings to be for the purposes of a financial assistance operation designed to reorganise and save that entity.
Note that those instruments shall also be reported on item 14.1.",304
0730,"26	Holdings on T2 Capital Instruments of financial sector entities where the institution has a significant investment temporary waived
Article 79 CRR
A competent authority may waive the provisions on deductions from T2 due to holdings on instruments of a specific financial sector entity, when it deems those holdings to be for the purposes of a financial assistance operation designed to reorganise and save that entity.
Note that those instruments shall also be reported on item 17.1.",305
0740,"27	Combined buffer requirement
Point (6) of Article 128 CRD",306
0750,"Capital conservation buffer
Point (1) of Article 128 and Article 129 CRD 
In accordance with Article 129(1) CRD, the capital conservation buffer is an additional amount of Common Equity Tier 1 capital. Due to the fact that the capital conservation buffer rate of 2.5% is stable, an amount shall be reported in this row.",307
0760,"Conservation buffer due to macro-prudential or systemic risk identified at the level of a Member State 
Point (d)(iv) of Article 458(2) CRR
In this row, the amount of the conservation buffer due to macro-prudential or systemic risk identified at the level of a Member State, which can be requested in accordance with Article 458 CRR in addition to the capital conservation buffer, shall be reported.
The amount reported shall represent the amount of own funds needed to fulfil the respective capital buffer requirements at the reporting date.",308
0770,"Institution specific countercyclical capital buffer 
Point (2) of Article 128 and Articles 130, 135 to 140 CRD 
The amount reported shall represent the amount of own funds needed to fulfil the respective capital buffer requirements at the reporting date.",309
0780,"Systemic risk buffer 
Point (5) of Article 128, Articles 133 and 134 CRD 
The amount reported shall represent the amount of own funds needed to fulfil the respective capital buffer requirements at the reporting date.",310
0800,"Global Systemically Important Institution buffer
Point (3) of Article 128 and Article 131 CRD
The amount reported shall represent the amount of own funds needed to fulfil the respective capital buffer requirements at the reporting date.",311
0810,"Other Systemically Important Institution buffer 
Point (4) Article 128 and Article 131 CRD
The amount reported shall represent the amount of own funds needed to fulfil the respective capital buffer requirements at the reporting date.",312
0820,"28	Own funds requirements related to Pillar II adjustments
Article 104a(1) CRD. 
If a competent authority decides that an institution has to calculate additional own funds requirements for Pillar II reasons, those additional own funds requirements shall be reported in this row.",313
0830,"29	Initial capital
Articles 12 and 28 to 31 CRD and Article 93 CRR",314
0840,"30	Own funds based on Fixed Overheads
Point (b) of Article 96(2), Article 97 and point (a) of Article 98(1) CRR",315
0850,"31	Non-domestic original exposures
Information necessary to calculate the threshold for reporting of the CR GB template in accordance with Article 5(5) of this Implementing Regulation. The calculation of the threshold shall be done at the basis of the original exposure pre-conversion factor. 
Exposures shall be deemed to be domestic where they are exposures to counterparties located in the Member State where the institution is located.",316
0860,"32	Total original exposures
Information necessary to calculate the threshold for reporting of the CR GB template in accordance with Article 5(5) of this Implementing Regulation. The calculation of the threshold shall be done at the basis of the original exposure pre-conversion factor
Exposures shall be deemed to be domestic where they are exposures to counterparties located in the Member State where the institution is located.",317
0010,Adjustments to CET1,318
0020,Adjustments to AT1,319
0030,Adjustments to T2,320
0040,"Adjustments included in RWAs
Column 0040 includes the relevant amounts adjusting the total risk exposure amount of Article 92(3) CRR due to transitional provisions. The amounts reported shall consider the application of provisions of Chapter 2 or 3 of Title II of Part Three or of Title IV of Part Three in accordance with Article 92(4) CRR. That means that transitional amounts subject to Chapter 2 or 3 of Title II of Part Three shall be reported as risk weighted exposure amounts, whereas transitional amounts subject to Title IV of Part Three shall represent the own funds requirements multiplied by 12,5.
Whereas columns 0010 to 0030 have a direct link to the CA1 template, the adjustments to the total risk exposure amount do not have a direct link to the relevant templates for credit risk. If there are adjustments stemming from the transitional provisions to the total risk exposure amount, those adjustments shall be included directly in the CR SA, CR IRB, CR EQU IRB, MKR SA TDI, MKR SA EQU or MKR IM. Additionally, those effects shall be reported in column 0040 of CA5.1. As a consequence, those amounts shall be memorandum items only.",321
0050,Applicable percentage,322
0060,"Eligible amount without transitional provisions
This column includes the amount of each instrument prior the application of transitional provisions, i.e. the basis amount relevant to calculate the adjustments.",323
0010,"1.	Total adjustments
This row reflects the overall effect of transitional adjustments in the different types of capital, plus the risk weighted amounts arising from those adjustments",324
0020,"1.1	Grandfathered instruments
Articles 483 to 491 CRR
This row reflects the overall effect of instruments transitionally grandfathered in the different types of capital.",325
0060,"1.1.2	Instruments not constituting state aid
The amounts to be reported shall be obtained from column 060 of  CA5.2 template",326
0061,"1.1.3	Instruments issued through special purpose vehicles
Article 494a CRR",327
0062,"1.1.4	Instruments issued before 27 June 2019 that do not meet the eligibility criteria related to write-down and conversion powers pursuant to Article 59 BRRD or are subject to set-off or netting arrangements
Article 494b CRR
Institutions shall report the amount of instruments within the scope of Article 494b CRR that do not meet one or several eligibility criteria of points (p), (q) and (r) of Article 52(1) CRR or points (n), (o) and (p) of Article 63 CRR, as applicable.
In case of Tier 2 instruments eligible in accordance with Article 494b(2) CRR, the amortisation provisions of Article 64 CRR shall be observed.",328
0063,"1.1.4.1*	of which: Instruments without legally or contractually mandatory write-down or conversion upon exercise of Article 59 BRRD powers
Article 494b, point (p) of Article 52(1) and point (n) of Article 63 CRR
Institutions shall report the amount of instruments within the scope of Article 494b CRR that do not meet the eligibility criteria of point (p) of Article 52(1) or point (n) of Article 63 CRR, as applicable.
This shall also include instruments that additionally do not meet the eligibility criteria of points (q) or (r) of Article 52(1) CRR or points (o) or (p) of Article 63 CRR, as applicable.",329
0064,"1.1.4.2*	of which: Instruments governed by third-country law without effective and enforceable exercise of Article 59 BRRD powers
Article 494b, point (q) of Article 52(1) and point (o) of Article 63 CRR
Institutions shall report the amount of instruments within the scope of Article 494b CRR that do not meet the eligibility criteria of point (q) of Article 52(1) or point (o) of Article 63 CRR, as applicable.
This shall include also instruments that additionally do not meet the eligibility criteria of points (p) or (r) of Article 52(1) CRR or points (n) or (p) of Article 63 CRR, as applicable.",330
0065,"1.1.4.3*	of which: Instruments subject to set-off or netting arrangements
Article 494b, point (r) of Article 52(1) and point (p) of Article 63 CRR
Institutions shall report the amount of instruments within the scope of Article 494b CRR that do not meet the eligibility criteria of point (r) of Article 52(1) CRR or point (p) of Article 63 CRR, as applicable.
This shall also include instruments that additionally do not meet the eligibility criteria of point (p) or (q) of Article 52(1) CRR or points (n) or (o) of Article 63 CRR, as applicable.",331
0070,"1.2	Minority interests and equivalents
Articles 479 and 480 CRR
This row reflects the effects of transitional provisions in the minority interests eligible as CET1; the qualifying T1 instruments eligible as consolidated AT1; and the qualifying own funds eligible as consolidated T2.",332
0080,"1.2.1	Capital instruments and items that do not qualify as minority interests
Articles 479 CRR
The amount to be reported in column 060 of this row shall be the amount qualifying as consolidated reserves in accordance with prior regulation.",333
0090,"1.2.2	Transitional recognition in consolidated own funds of minority interests
Articles 84 and 480 CRR
The amount to be reported in column 0060 of this row shall be the eligible amount without transitional provisions.",334
0091,"1.2.3	Transitional recognition in consolidated own funds of qualifying Additional Tier 1 capital
Articles 85 and 480 CRR
The amount to be reported in column 0060 of this row shall be the eligible amount without transitional provisions.",335
0092,"1.2.4	Transitional recognition in consolidated own funds of qualifying Tier 2 capital
Articles 87 and 480 CRR
The amount to be reported in column 0060 of this row shall be the eligible amount without transitional provisions.",336
0100,"1.3	Other transitional adjustments
Articles 468 to 478 and Article 481 CRR
This row reflects the overall effect of transitional adjustments in the deduction to different types of capital, unrealised gains and losses, additional filters and deductions plus the risk weighted amounts arising from these adjustments.",337
0111,"1.3.1.6 Unrealised gains and losses from certain debt exposures to central governments, regional governments, local authorities and PSEs
Article 468 CRR",338
0112,"1.3.1.6.1 of which: amount A
The amount A, as calculated in accordance with the formula referred to in Article 468(1) CRR",339
0140,"1.3.2	Deductions
Article 36(1) and Articles 469 to 478 CRR
This row reflects the overall effect of transitional provisions on deductions.",340
0170,"1.3.2.3.	Deferred tax assets that rely on future profitability and do not arise from temporary differences
Point (c) of Article 36(1), Articles 469(1) and 472(5) and Article 478 CRR
When determining the amount of the above-mentioned deferred tax assets (DTA) to be deducted, institutions shall take into account the provisions of Article 38 CRR relating to the reduction of DTA by deferred tax liabilities.
The amount to be reported in column 0060 of this row: Total amount in accordance with Article 469(1) CRR.",341
0380,"1.3.2.9	Deferred tax assets that are dependent on future profitability and arise from temporary differences and CET1 instruments of financial sector entities where the institution has a significant investment
Paragraphs 2 and 3 of Article 470 CRR
The amount to be reported in column 0060 of this row: Article 470(1) CRR",342
0385,"Deferred tax assets that are dependent on future profitability and arise from temporary differences
Point (c) of Article 469(1), Article 472(5) and Article 478 CRR
Part of deferred tax assets that rely in future profitability and arise from temporary differences which exceeds the 10% threshold in point (a) of Article 470(2) CRR.",343
0425,"1.3.2.11	Exemption from deduction of Equity Holdings in Insurance Companies from CET 1 Items
Article 471 CRR",344
0430,"1.3.3	Additional filters and deductions
Article 481 CRR
This row reflects the overall effect of transitional provisions on additional filters and deductions.
In accordance with Article 481 CRR, institutions shall report in item 1.3.3 information relating to the filters and deductions required under the national transposition measures for Articles 57 and 66 of Directive 2006/48/EC and for Articles 13 and 16 of Directive 2006/49/EC, and which are not required in accordance with Part Two.",345
0440,"1.3.4	Adjustments due to IFRS 9 transitional arrangements
Article 473a CRR
Institutions shall report information in relation with the transitional arrangements due to IFRS 9 in accordance with the applicable legal provisions.",346
0441,"Memorandum item: ECL impact of the static component
The sum of A2,SA and A2, IRB as referred to in Article 473a(1) CRR
In case of A2, IRB the amount reported is the amount net of expected lossess as required by point (a) of Article 473a(5) CRR.",347
0442,"Memorandum item: ECL impact of the dynamic component for the period 01/01/2018 – 31/12/2019
The sum of   and as referred to in Article 473a(1) CRR",348
0443,"Memorandum item: ECL impact of the dynamic component for the period starting on 01/01/2020
The sum of A4,SA and A4, IRB as referred to in Article 473a(1) CRR
In case of A4, IRB the amount reported is the amount net of expected losses as required by points (b) and (c) of Article 473a (5) CRR.",349
0010,"Amount of instruments plus related share premium
Paragraphs 3, 4 and 5 of Article 484 CRR
Instruments which are eligible for each respective row, including their related share premiums.",350
0020,"Base for calculating the limit
Paragraphs 2, 3 and 4 of Article 486 CRR",351
0030,"Applicable percentage
Article 486(5) CRR",352
0040,"Limit
Paragraphs 2 to 5 of Article 486 CRR",353
0050,"(-) Amount that exceeds the limits for grandfathering
Paragraphs 2 to 5 of Article 486 CRR",354
0060,"Total grandfathered amount
The amount to be reported shall be equal to the amounts reported in the respective columns in row 060 of CA5.1.",355
0010,"1.	Instruments that qualified for point (a) of Article 57 of 2006/48/EC
Article 484(3) CRR
The amount to be reported shall include the related share premium accounts.",356
0020,"2.	Instruments that qualified for point (ca) of Article 57 and Article 154(8) and (9) of Directive 2006/48/EC, subject to the limit of Article 489 CRR
Article 484(4) CRR",357
0030,"2.1	Total instruments without a call or an incentive to redeem
Article 484(4) and Article 489 CRR
The amount to be reported shall include the related share premium accounts.",358
0040,"2.2	Grandfathered instruments with a call and incentive to redeem
Article 489 CRR",359
0050,"2.2.1	Instruments with a call exercisable after the reporting date, and which meet the conditions in Article 52 CRR after the date of effective maturity
Article 489(3) and point (a) of Article 491 CRR
The amount to be reported shall include the related share premium accounts.",360
0060,"2.2.2	Instruments with a call exercisable after the reporting date, and which do not meet the conditions in Article 52 CRR after the date of effective maturity
Article 489(5) and point (a) of Article 491 CRR
The amount to be reported shall include the related share premium accounts.",361
0070,"2.2.3	Instruments with a call exercisable prior to or on 20 July 2011, and which do not meet the conditions in Article 52 CRR after the date of effective maturity
Article 489(6) and point (c) of Article 491 CRR
The amount to be reported shall include the related share premium accounts",362
0080,"2.3	Excess on the limit of CET1 grandfathered instruments
Article 487(1) CRR
The excess on the limit of CET1 grandfathered instruments may be treated as instruments which can be grandfathered as AT1 instruments.",363
0090,"3.	Items that qualified for points (e), (f), (g) or (h) of Article 57 of Directive 2006/48/EC, subject to the limit of Article 490 CRR
Article 484(5) CRR",364
0100,"3.1	Total items without an incentive to redeem
Article 490 CRR",365
0110,"3.2	Grandfathered items with an incentive to redeem
Article 490 CRR",366
0120,"3.2.1	Items with a call exercisable after the reporting date, and which meet the conditions in Article 63 CRR after the date of effective maturity
Article 490(3) and point (a) of Article 491 CRR
The amount to be reported shall include the related share premium accounts.",367
0130,"3.2.2	Items with a call exercisable after the reporting date, and which do not meet the conditions in Article 63 CRR after the date of effective maturity
Article 490(5) and point (a) of Article 491 CRR
The amount to be reported shall include the related share premium accounts.",368
0140,"3.2.3	Items with a call exercisable prior to or on 20 July 2011, and which do not meet the conditions in Article 63 CRR after the date of effective maturity
Article 490(6) and point (c) of Article 491 CRR
The amount to be reported shall include the related share premium accounts.",369
0150,"3.3	Excess on the limit of AT1 grandfathered instruments
Article 487(2) CRR 
The excess on the limit of AT1 grandfathered instruments may be treated as instruments which can be grandfathered as T2 instruments.",370
0250-0400,"ENTITIES WITHIN SCOPE OF CONSOLIDATION
See instructions for C 06.02",371
0410-0480,"CAPITAL BUFFERS
See instructions for C 06.02",372
0010,"TOTAL
The Total shall represent the sum of the values reported in all rows of template C 06.02.",373
0010-0060,"ENTITIES WITHIN SCOPE OF CONSOLIDATION
This template is designed to gather information on all entities on an entity-by-entity-basis within the scope of consolidation in accordance with Chapter 2 of Title II of Part One CRR.",374
0011,"NAME
Name of the entity within the scope of consolidation.",375
0021,"CODE
The code as part of a row identifier must be unique for each reported entity. For institutions and insurance undertakings the code shall be the LEI code. For other entities the code shall be the LEI code, or if not available, a national code. The code shall be unique and used consistently across the templates and across time. The code shall always have a value.",376
0026,"TYPE OF CODE
The institutions shall identify the type of code reported in column 0021 as a ‘LEI code’ or ‘Non-LEI code’. The type of code shall always be reported.",377
0027,"NATIONAL CODE
Institutions may additionally report the national code when they report LEI code as identifier in the ‘Code’ column.",378
0030,"INSTITUTION OR EQUIVALENT (YES / NO)
""YES"" shall be reported where the entity is subject to own funds requirements pursuant to CRR and CRD or provisions at least equivalent to Basel provisions.
”NO” shall be reported otherwise.

	Minority interests:
Point (a)(ii) of Article 81(1) and point (a)(ii) of Article 82(1) CRR
To the effects of minority interests and AT1 and T2 instruments issued by subsidiaries, the subsidiaries whose instruments can be eligible shall be institutions or undertakings subject to the requirements CRR by virtue of applicable national law.",379
0035,"TYPE OF ENTITY
The type of entity shall be reported based on the following categories:
(a)	credit institution
	Point (1) of Article 4(1)CRR;
(b)	investment firm
	Point (2) of Article 4(1) CRR;
(c)	financial institution (other)
	Points (20), (21) and (26) of Article 4(1)  CRR
	Financial institutions within the meaning of point (26) of Article 4(1) CRR which are not included in any of the categories (d), (f) or (g);
(d)	(mixed) financial holding company
	Points (20) and (21) of Article 4(1)CRR;
(e)	ancillary services undertaking
	Point (18) of Article 4(1) CRR;
(f)	securitisation special purpose entity (SSPE),
	Point (66) of Article 4(1)CRR;
(g)	covered bond company
Entity set up to issue covered bonds or to hold the collateral securing a covered bond, if not included in any of the categories (a), (b) or (d) to (f) above;
(h)	other type of entity
Entity other than those referred to in points (a) to (g).
Where an entity is not subject to CRR and CRD, but subject to provisions at least equivalent to Basel provisions, the relevant category shall be determined on a best effort basis.",380
0040,"SCOPE OF DATA: solo fully consolidated (SF) OR solo partially consolidated (SP)
“SF” shall be reported for individual subsidiaries fully consolidated. 
“SP” shall be reported for individual subsidiaries partially consolidated.",381
0050,"COUNTRY CODE 
Institutions shall report the two-letter country code referred to in ISO 3166-2.",382
0060,"SHARE OF HOLDING (%)
This percentage refers to the actual share of capital the parent undertaking holds in subsidiaries. In case of full consolidation of a direct subsidiary, the actual share is e.g. 70 %. In accordance with point (16) of Article 4(1) CRR, the share of holding of a subsidiary to be reported results from a multiplication of the shares between the subsidiaries concerned.",383
0070-0240,"INFORMATION ON ENTITIES SUBJECT TO OWN FUNDS REQUIREMENT
The section of detailed information (i.e. columns 0070 to 0240) shall gather information only on those entities and subgroups which, being within the scope of consolidation (Chapter 2 of Title II of Part One CRR), are effectively subject to solvency requirements laid down in CRR or provisions at least equivalent to Basel provisions (i.e, reported yes in column 0030). 
Information shall be included about all individual institutions of a consolidated group that are subject to own funds requirements, regardless where they are located. 
The information reported in this part shall reflect the local solvency rules of the jurisdiction in which the institution is operating (therefore, for this template, it is not necessary to do a double calculation on an individual basis on the basis of the parent institution’s rules). When local solvency rules differ from CRR and a comparable breakdown is not given, the information shall be completed where data are available in the respective granularity. Therefore, this part is a factual template that summarises the calculations that the individual institutions of a group shall carry out, bearing in mind that some of those institutions may be subject to different solvency rules.
Reporting of fixed overheads of investment firms:
Investment firms shall include own funds requirements related to fixed overheads in their calculation of capital ratio pursuant to Articles 95, 96, 97 and 98 CRR.
The part of the total risk exposure amount related to fixed overheads shall be reported in column 0100 of this template.",384
0070,"TOTAL RISK EXPOSURE AMOUNT 
The sum of the columns 0080 to 0110 shall be reported.",385
0080,"CREDIT; COUNTERPARTY CREDIT; DILUTION RISKS, FREE DELIVERIES AND SETTLEMENT/DELIVERY RISK
The amount to be reported in this column shall correspond to the sum of risk weighted exposure amounts that are equal or equivalent to the ones that must be reported in row 0040 “RISK WEIGHTED EXPOSURE AMOUNTS FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES” and the amounts of own funds requirements that are equal or equivalent to the ones that must be reported in row 0490 “TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY RISKS” of template CA2.",386
0090,"POSITION, FX AND COMMODITY RISKS
The amount to be reported in this column shall correspond to the amount of own funds requirements that are equal or equivalent to the ones that must be reported in row 0520 “TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS” of template CA2.",387
0100,"OPERATIONAL RISK
The amount to be reported in this column shall correspond to the risk exposure amount that is equal or equivalent to the one that shall be reported in row 0590 “TOTAL RISK EXPOSURE AMOUNT FOR OPERATIONAL RISKS (OpR)” of the template CA2.
Fixed overheads shall be included in this column including the row 0630 “ADDITIONAL RISK EXPOSURE AMOUNT DUE TO FIXED OVERHEADS” of template CA2.",388
0110,"OTHER RISK EXPOSURE AMOUNTS
The amount to be reported in this column shall correspond to the risk exposure amount not especially listed above. It shall be the sum of the amounts of rows 0640, 0680 and 0690 of template CA2.",389
0120-0240,"DETAILED INFORMATION ON GROUP SOLVENCY OWN FUNDS
The information reported in the following columns shall reflect the local solvency rules of the Member State in which the entity or subgroup is operating.",390
0120,"OWN FUNDS
The amount to be reported in this column corresponds to the amount of own funds that are equal or equivalent to the ones that must be reported in row 0010 “OWN FUNDS” of the template CA1.",391
0130,"OF WHICH: QUALIFYING OWN FUNDS 
Article 82 CRR 
This column shall only be provided for the subsidiaries reported on an individual basis that are fully consolidated and that are institutions. 
Qualifying holdings are, for the subsidiaries specified above, the instruments (plus related retained earnings, share premium accounts and other reserves) owned by persons other than the undertakings and included in the CRR consolidation.
The amount to be reported shall include the effects of any transitional provisions. It shall be the eligible amount on the date of reporting.",392
0140,"RELATED OWN FUNDS INSTRUMENTS, RELATED RETAINED EARNINGS, SHARE PREMIUM ACCOUNTS AND OTHER RESERVES
Point (b) of Article 87(1)CRR",393
0150,"TOTAL TIER 1 CAPITAL
Article 25 CRR",394
0160,"OF WHICH: QUALIFYING TIER 1 CAPITAL
Article 82 CRR
This column shall only be provided for the subsidiaries reported on an individual basis that are fully consolidated and that are institutions.
Qualifying holdings are, for the subsidiaries specified above, the instruments (plus related retained earnings and share premium accounts) owned by persons other than the undertakings included in the CRR consolidation.
The amount to be reported shall include the effects of any transitional provision. It shall be the eligible amount on the date of reporting.",395
0170,"RELATED T1 INSTRUMENTS, RELATED RETAINED EARNINGS AND SHARE PREMIUM ACCOUNTS
Point (b) of Article 85(1) CRR",396
0180,"COMMON EQUITY TIER 1 CAPITAL
Article 50 CRR",397
