Chunk,Chunk Content,Index
Article14,"14 Restricted-Use Committed Liquidity

Facilities

In order to qualify as level 2B assets, the restricted-use committed

liquidity facilities that may be provided by a central bank as referred to in

paragraph (1)(d) of Article 12 shall fulfil all of the following criteria:

(a) during a non-stress period, the facility is subject to a commitment fee

on the total committed amount which is at least the greater of the

following:

(i) 75 basis points per annum; or

(ii) at least 25 basis points per annum above the difference in yield on

the assets used to back the facility and the yield ona

representative portfolio of liquid assets, after adjusting for any

material differences in credit risk.

During a stress period, the central bank may reduce the commitment fee

described in the first subparagraph of this point, provided that the

minimum requirements applicable to liquidity facilities under the

alternative liquidity approaches in accordance with Article 19 are

met;

(b) the facility is backed by unencumbered assets of a type specified by

the central bank. The assets provided as collateral shall fulfil all of the

following criteria:

(i) they are held in a form which facilitates their prompt transfer to the

central bank in the event of the facility being called;

(ii) their value post-haircut as applied by the central bank is sufficient

to cover the total amount of the facility;

(iii) they are not to be counted as liquid assets for the purposes of thecredit institution's liquidity buffer,

(c) the facility is compatible with the counterparty policy framework of the

central bank;

(d) the commitment term of the facility exceeds the 30 calendar day

stress period referred to in Article 4;

(e) the facility is not revoked by the central bank prior to its contractual

maturity and no further credit decision is taken for as long as the

credit institution concerned continues to be assessed as solvent;

(f) there is a formal policy published by the central bank stating its

decision to grant restricted-use committed liquidity facilities, the

01/01/2022

01/01/2022

conditions governing the facility and the types of credit institutions

that are eligible to apply for those facilities.

[Note: This rule corresponds to Article 14 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",21
Article15,"15 Cius

Shares or units in ClUs shall qualify as liquid assets of the same level as

the liquid assets underlying the relevant undertaking up to an absolute

amount of GBP 440 million (or equivalent amount in domestic currency)

for each credit institution on an individual basis, provided that:

(a) the requirements in Article 132(3) of CRR are complied with;

(b) the CIU invests only in liquid assets and derivatives, in the latter case

only to the extent necessary to mitigate interest rate, currency or

credit risk in the portfolio.

Credit institutions shall apply the following minimum haircuts to the value

of their shares or units in ClUs depending on the category of underlying

liquid assets:

(a) 0% for coins and banknotes and exposures to central banks referred

to in Article 10(1)(b);

(d) 20% for level 2A assets;

(e) 30% for level 2B securitisations backed by the subcategories of

assets referred to in points (i), (ii) and (iv) of Article 13(2)(g);

(g) 40% for level 2B securitisations backed by the subcategories ofassets referred to in points (iii) and (v) of Article 13(2)(g); and

(h) 55% for level 2B corporate debt securities referred to in Article 12(1)

01/01/2022

3. The approach referred to in pai ph 2 shall be applied as follows:

(a) where the credit institution is aware of the exposures underlying the

CIU, it may look-through to those underlying exposures to assign

them the appropriate haircut in accordance with paragraph 2;

(b) where the credit institution is not aware of the exposures underlying

the CIU, it shall assume, for the purposes of determining the liquidity

level of the underlying assets and for the purposes of assigning the

appropriate haircut to those assets, that the CIU invests in liquid

assets, up to the maximum amount allowed under its mandate, in the

same ascending order as liquid assets are classified for the purposes

of paragraph 2, starting with the assets referred to in point (h) of

is reached.

01/01/2022

4. Credit institutions shall develop robust methodologies and processes to

calculate and report the market value and haircuts for shares or units in

ClUs. Where the exposure is not sufficiently material for a credit

institution to develop its own methodologies and provided that, in each

case, the competent authority is satisfied that this condition has been

met, a credit institution may only rely on the following third parties to

calculate and report the haircuts for shares or units in ClUs:

(a) the depository institution of the CIU, provided that the CIU invests

exclusively in securities and deposits all such securities at this

depository institution; or

(b) for other ClUs, the ClIU management company.

The correctness of the calculations made by the depository institution or

by the CIU management company when determining the market value

and haircuts for shares or units in ClUs shall be confirmed by an external

auditor on at least an annual basis.

01/01/2022

01/01/202201/01/2022

01/01/2022

Where a credit institution fails to comply with the requirements laid down

h4 of this Article in relation to shares or units in a CIU, it

shall cease to recognise them as liquid assets for the purposes of this

Chapter 2 of the Liquidity Coverage Ratio (CRR) Part in accordance

[Note: This rule corresponds to Article 15 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",22
Article17,"17 Composition of the Liquidity Buffer by

Asset Level

Credit institutions shall comply at all times with the following

requirements on the composition of their liquidity buffer.

assets.

The requirements set out in paragraph 1 shall be applied after adjusting

for the impact on the stock of liquid assets of secured funding, secured

lending or collateral swap transactions using liquid assets on at least one

leg of the transaction where the transactions mature within 30 calendar

days, after deducting any applicable haircuts and provided that the credit

institution complies with the operational requirements laid down in Article

Bo

Credit institutions shall determine the composition of their liquidi

01/01/2022

01/01/2022

01/01/2022

01/01/2022

01/01/2022

Credit institutions may apply to the competent authority for permission,

with respect to one or more secured funding, secured lending or

collateral swap transactions with the Bank of England using liquid

assets on at least one leg of the transaction and maturing within 30

calendar days.[Note: This is a permission under section 144G of FSMA to which Part 8

[Note: Provision left blank]

[Note: This rule corresponds to Article 17 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",23
Article18,"18 Breach of Requirements

Where a liquid asset ceases to comply with any applicable general

requirements laid down in Article 7, the operational requirements laid

from the date when the breach of requirements occurred.

Paragraph 1 shall apply to shares or units in a CIU ceasing to meet

eligibility requirements only where they do not exceed 10% of the CIU's

overall assets.

[Note: This rule corresponds to Article 18 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

01/01/2022",24
Article19,"19 Alternative Liquidity Approaches

Where there are insufficient liquid assets in a given currency for credit

institutions to meet the liquidity coverage ratio laid down in Article 4, one

or more of the following provisions shall apply:

(a) the requirement on currency consistency set out in Article 8(6) shall

not apply in relation to that currency;

(b) the credit institution may cover the deficit of liquid assets in a currency

with credit facilities from the Bank of England or the central banks

with all the following requirements:

(i) it is contractually irrevocably committed for the next 30 calendar

days;

(ii) it is priced with a fee which is payable regardless of the amount, if

any, drawn down against that facility;

(iii) the fee is set in an amount such that the net yield on the assets

used to secure the facility must not be higher than the net yield

on a representative portfolio of liquidity assets, after adjusting for

any material differences in credit risk;(c) where there is a deficit of level 1 assets but there are sufficient level

2A assets, the credit institution may hold additional level 2A assets in

the liquidity buffer and the caps by asset level set out in Article 17

shall be deemed amended accordingly. These additional level 2A

assets shall be subject to a minimum haircut equal to 20%. Any level

2B assets held by the credit institution shall remain subject to the

haircuts applicable in each case in accordance with this Chapter 2 of

Title Il (The Liquidity Buffer). $=

Credit institutions shall apply the derogations provided for in paragraph 1

on an inversely proportional basis with regard to the availability of the

relevant liquid assets. Credit institutions shall assess their liquidity needs

for the application of this Article taking into account their ability to reduce,

by sound liquidity management, the need for those liquid assets and the

holdings of those assets by other market participants.

01/01/2022

01/01/2022

01/01/2022

[Note: Provision left blank]

The detailed conditions applicable to the use of the derogations laid

down in paragraph 1(a) and (b) shall be determined in accordance with

Rulebook.

[Note: This rule corresponds to Article 19 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

Title Ill Liquidity Outflows and Inflows

Chapter 1 Net Liquidity Outflows",25
Article20,"20 Definition of Net Liquidity Outflows

The net liquidity outflows shall be the sum of liquidity outflows in point

(a) reduced by the sum of liquidity inflows in point (b), but shall not be

less than zero, and shall be calculated as follows:

(a) the sum of the liquidity outflows as defined in Chapter 2 of Title Ill

(Liquidity Outflows and Inflows);

and (3);

(ii) the lower of the inflows referred to in Article 33(4) and 90% of the

90% cap, but not less than zero.01/01/2022

01/01/2022

01/01/2022

01/01/2022

01/01/2022

Liquidity inflows and liquidity outflows shall be assessed over a 30

calendar day stress period, under the assumption of a combined

[Note: This rule corresponds to Article 20 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",26
Article21,"21 Netting of Derivatives Transactions

Credit institutions shall calculate liquidity outflows and inflows expected

over a 30 calendar day period, for the contracts listed in Annex II to CRR

and for credit derivatives, on a net basis by counterparty subject to the

existence of bilateral netting agreements meeting the conditions laid

down in Article 295 of that Regulation.

By way of derogation from paragraph 1, credit institutions shall calculate

cash outflows and inflows arising from foreign currency derivative

transactions that involve a full exchange of principal amounts on a

simultaneous basis (or within the same day) on a net basis, even where

those transactions are not covered by a bilateral netting agreement.

Foor the purposes of this Article, net basis shall be considered to be net

of collateral to be posted or received in the next 30 calendar days.

However, in the case of collateral to be received in the next 30 calendar

days, net basis shall be considered to be net of that collateral only if both

of the following conditions are met:

01/01/2022

01/01/2022

01/01/2022

II (

(b) the credit institution will be legally entitled and operationally able to

reuse the collateral, when received.[Note: This rule corresponds to Article 21 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

Chapter 2 Liquidity Outflows",27
Article22,"22 Definition of Liquidity Outflows

Liquidity outflows shall be calculated by multiplying the outstanding

balances of various categories or types of liabilities and off-balance sheet

commitments by the rates at which they are expected to run off or be

drawn down as indicated in this Chapter 2 of Title III (Liquidi

Outflows and Inflows).

Liquidity outflows referred to in paragraph 1 shall include, in each case

multiplied by the applicable outflow rate:

(a) the current outstanding amount for stable retail deposits and other

(b) the current outstanding amounts of other liabilities that become due,

can be called for pay-out by the issuer or by the provider of the

funding or entail an expectation by the provider of the funding that the

credit institution would repay the liability during the next 30 calendar

days determined in accordance with Articles 27, 28 and 31a;

(c) the additional outflows determined in accordance with Arti 0;

(d) the maximum amount that can be drawn down during the next 30

calendar days from undrawn committed credit and liquidity facilities

determined in accordance with Article 31;

(e) the additional outflows identified in the assessment in accordance

with Article 23.

01/01/2022

01/01/2022

The calculation of liquidity outflows in accordance with paragraph 1 shall

be subject to any netting of interdependent inflows that is permitted under",28
"Article26.

[Note:","26.

[Note: This rule corresponds to Article 22 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",29
Article23,"23 Additional Liquidity Outflows for Other

Products and Services

Credit institutions shall regularly assess the likelihood and potential

volume of liquidity outflows during 30 calendar days for products orservices which are not referred to in Articles 27 to 31a and which they

offer or sponsor or which potential purchasers would consider associated

with them. Those products or services shall include, but not be limited to:

(a) other off-balance-sheet and contingent funding obligations, including

uncommitted funding facilities;

b) undrawn loans and advances to wholesale counterparties;

iz)

) mortgage loans that have been agreed but not yet drawn down;

d) credit cards;

e) overdrafts;

=a

') planned outflows related to the renewal of existing retail or wholesale

loans or the extension of new retail or wholesale loans;

derivative payables, other than the contracts listed in Annex Il to CRR

and credit derivatives;

Se

Ss

trade finance off-balance-sheet related products.

The outflows referred to in paragraph 1 shall be assessed under the

particular account of material reputational damage that could result from

not providing liquidity support to such products or services. Credit

institutions shall report at least once a year to the competent authority

those products and services for which the likelihood and potential volume

of the liquidity outflows referred to in paragraph 1 are material and the

institutions shall assign appropriate outflows.

01/01/2022

01/01/2022

01/01/2022

01/01/2022

[Note: This rule corresponds to Article 23 of Regulation (EU) No 2015/61as it applied immediately before revocation by the Treasury]",30
Article24,"24 Outflows from Stable Retail Deposits

country shall be considered as stable and multiplied by 5% where the

deposit is either:

(a) part of an established relationship making withdrawal highly unlikely;

or

(b) held in a transactional account.

For the purpose of paragr: 1(a) a retail deposit shall be considered to

be part of an established relationship where the depositor meets at least

one of the following criteria:

(a) has an active contractual relationship with the credit institution of at

least 12 months duration;

(b) has a borrowing relationship with the credit institution for residential

loans or other long term loans;

(c) has at least one other active product, other than a loan, with the credit

institution.

For the purposes of paragraph 1(b) a retail deposit shall be considered

as being held in a transactional account where salaries, income or

transactions are regularly credited and debited respectively against that

account.

[Note: Provision left blank]

01/01/2022

01/01/2022

01/01/2022

[Note: Provision left blank]

[Note: This rule corresponds to Article 24 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",31
Article25,"25 Outflows from Other Retail Deposits

Credit institutions shall multiply by 10% other retail deposits, including

where the following conditions are met:(a) the total deposit balance, including all the client's deposit accounts at

that credit institution or group, exceeds GBP 440,000;

(b) the deposit is an internet access-only account;

(c) the deposit offers an interest rate that fulfils any of the following

conditions:

(i) the rate significantly exceeds the average rate for similar retail

products;

(ii) its return is derived from the return on a market index or set of

indices;

(iii) its return is derived from any market variable other than a floating

interest rate;

(d) the deposit was originally placed as fixed-term with an expiry date

maturing within the 30 calendar day period or the deposit presents a

fixed notice period shorter than 30 calendar days, in accordance with

contractual arrangements, other than those deposits that qualify for

the treatment provided for in paragraph 4;

depositor is resident in a third country or the deposit is denominated

in a currency other than pounds Sterling. For credit institutions or

01/01/2022

01/01/2022

branches in third countries, the depositor is a non-resident in the third

country or the deposit is denominated in another currency than the

domestic currency of the third country.

Credit institutions shall, subject to any requirement imposed by the

10% and 15% shall be applied;

(b) where the retail deposits fulfil point (a) of paragraph 2 and at least

applied.

Credit institutions shall apply the outflow rate referred to in paragraph

3(b) to retail deposits where the assessment referred to paragraph 2

has not been carried out or is not completed.

Credit institutions may exclude from the calculation of outflows certain

clearly circumscribed categories of retail deposits as long as in each

and every instance the credit institution rigorously applies the following

provisions for the whole category of those deposits, unless an exception

can be justified on the basis of circumstances of hardship for the

depositor:(a) within 30 calendar days, the depositor is not allowed to withdraw the

deposit; or

(b) for early withdrawals within 30 calendar days, the depositor has to

pay a penalty that includes the loss of interest between the date of

withdrawal and the contractual maturity date plus a material penalty

that does not have to exceed the interest due for the time that

elapsed between the date of deposit and the date of withdrawal.

01/01/2022

01/01/2022

If a portion of the deposit referred to in the first subparagraph can be

withdrawn without incurring such a penalty, only that portion shall be

treated as a demand deposit and the remaining balance shall be treated

as a term deposit as referred to in this paragraph. An outflow rate of

100% shall be applied to cancelled deposits with a residual maturity of

less than 30 calendar days and where pay-out has been agreed to

another credit institution.

higher percentage outflow rate if such a percentage is provided for by the

national law establishing liquidity requirements in that third country.

[Note: This rule corresponds to Article 25 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",32
Article26,"26 Outflows with Inter-Dependent Inflows

A credit institution may apply to the competent authority for permission

to calculate the liquidity outflow net of an interdependent inflow. For the

purpose of this Article, an interdependent inflow is an inflow which:

(a) is directly linked to the outflow and is not considered in the calculation

of liquidity inflows in Chapter 3 of Title III (Liquidity Outflows and

Inflows;

(b) is required pursuant to a legal, regulatory or contractual commitment;

and

(c) either:

(i) arises compulsorily before the outflow; or

(ii) is received within 10 days and is guaranteed by the central

government of the Uni ingdom.

[Note: This rule corresponds to Article 26 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]01/01/2022

01/01/2022

01/01/2022

01/01/2022

01/01/2022",33
Article27,"27 Outflows from Operational Deposits

Credit institutions shall multiply by 25% liabilities resulting from deposits

that are maintained as follows:

(a) by the depositor in order to obtain clearing, custody, cash

management or other comparable services in the context of an

established operational relationship from the credit institution;

(c) by the depositor in the context of an established operational

relationship other than that mentioned in point (a).

(d) [Note: Provision left blank]

By derogation from paragraph 1, credit institutions shall multiply by 5%

1(a) which is covered by the UK deposit guarantee scheme or an

equivalent deposit guarantee scheme in a third country.

Clearing, custody, cash management or other comparable services

referred to in points (a) and (d) of paragraph 1 only cover such services

to the extent that they are rendered in the context of an established

relationship which is critically important to the depositor. Deposits

referred to in points (a), (c) and (d) of paragraph 1 shall have significant

legal or operational limitations that make significant withdrawals within 30

calendar days unlikely. Funds in excess of those required for the

provision of operational services shall be treated as non-operational

deposits.

Deposits arising out of a correspondent banking relationship or from the

provision of prime brokerage services shall not be treated as an

operational deposit and shall receive a 100% outflow rate.

01/01/2022

In order to identify the deposits referred to in point (c) of paragraph 1, a

credit institution shall consider that there is an established operationalrelationship with a non-financial customer, excluding term deposits,

savings deposits and brokered deposits, where all of the following criteria

are met:

(a) the remuneration of the account is priced at least 5 basis points below

the prevailing rate for wholesale deposits with comparable

characteristics, but need not be negative;

(b) the deposit is held in specifically designated accounts and priced

without creating economic incentives for the depositor to maintain

funds in the deposit in excess of what is needed for the operational

relationship;

(c) material transactions are credited and debited on a frequent basis on

the account considered;

(d) one of the following criteria is met:

(i) the relationship with the depositor has existed for at least 24

(ii) the deposit is used for a minimum of 2 active services. These

services may include direct or indirect access to national or

international payment services, security trading or depository

services.

Only that part of the deposit which is necessary to make use of the

service of which the deposit is a by-product shall be treated as an

operational deposit. The excess shall be treated as non-operational.

[Note: This rule corresponds to Article 27 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",34
Article28,"28 Outflows from Other Liabilities

Credit institutions shall multiply liabilities resulting from deposits by

clients that are non-financial customers, sovereigns, central banks,

01/01/2022

01/01/2022

By derogation from the first subparagraph, where the liabilities referred to

in that subparagraph are covered by the U! je

or an equivalent deposit guarantee scheme in a third country they s! all.

be multiplied by 20%.

Credit institutions shall multiply liabilities resulting from the institution's

own operating expenses by 0%.Crredit institutions shall multiply liabilities maturing within 30 calendar

days and resulting from secured lending or capital market-driven

transactions, as defined in points (2) and (3) respectively of Article 192 of

(a) 0% where they are collateralised by assets that, but for being used as

collateral for those transactions, would qualify in accordance with",35
Articles,"s 7 and 10 as liquid assets of any of the categories of level 7

(b) 7% where they are collateralised by assets that, but for being used as

collateral for those transactions, would qualify in accordance with",36
Articles,"s 7 and 10 as liquid assets of the category referred to in point

(c) 15% where they are collateralised by assets that, but for being used

as collateral for those transactions, would qualify in accordance with",37
Articles,"s 7 and 11 as liquid assets of any of the categories of level 2A

(d) 25% where they are collateralised by assets that, but for being used

as collateral for those transactions, would qualify in accordance with",38
Articles,"s 7 and 13 as liquid assets of any of the categories of level 2B

(e) 30% where they are collateralised by assets that, but for being used

as collateral for those transactions, would qualify in accordance with",39
Articles,"s 7 and 12 as liquid a assets of the category of level 2B asset

01/01/2022

(f) 35% where they are collateralised by assets that, but for being used

as collateral for those transactions, would qualify in accordance with

(g) 50% where they are collateralised by assets that, but for being used

as collateral for those transactions, would qualify in accordance with

liquid assets of the same level as the underlying liquid assets;

(i) 100% where they are collateralised by assets that do not fall within

any of points (a) to (h) of this subparagraph.

By way of derogation from the first subparagraph, where the counterparty

to the secured lending or capital market-driven transaction is the

domestic central bank of the credit institution, the outflow rate shall be

0%. However, in cases where the transaction is done through a branch

with the Bank of England or of the third country in which the branch is

located, a 0% outflow rate shall be applied only if the branch has the

same access to central bank liquidity, including during stress periods, as

have.

By way of derogation from the first subparagraph, for secured lending or

capital market-driven transactions that would require an outflow rate

under that first subparagraph higher than 25%, the outflow rate shall be25% where the counterparty to the transaction is an eligible counterparty.

Collateral swaps, and other transactions with a similar form, that mature

within the next 30 calendar days shall lead to an outflow where the asset

borrowed is subject to a lower haircut under Chapter 2 of Title III

be calculated by multiplying the market value of the asset borrowed by

the difference between the outflow rate applicable to the asset lent and

the outflow rate applicable to the asset borrowed determined in

01/01/2022

01/01/2022

01/01/2022

accordance with the rates specified in paragraph 3. For the purposes of

this calculation, a 100% haircut shall be applied to assets that do not

qualify as liquid assets.

By way of derogation from the first subparagraph, where the counterparty

to the collateral swap or other transaction with a similar form is the

domestic central bank of the credit institution, the outflow rate to be

applied to the market value of the asset borrowed shall be 0%. However,

in cases where the transaction is done through a branch with the Bank

outflow rate shall be applied only if the branch has the same access to

central bank liquidity, including during stress periods, as credit

institutions incorporated in the Uni m or third country have.

By way of derogation from the first subparagraph, for collateral swaps or

other transactions with a similar form that would require an outflow rate

higher than 25% under that first subparagraph, the outflow rate to be

applied to the market value of the asset borrowed shall be 25% where

the counterparty is an eligible counterparty.

The offsetting balances held in segregated accounts related to client

protection regimes imposed by national regulations shall be treated as

inflows in accordance with Article 32 and shall be excluded from the

stock of liquid assets.

Credit institutions shall apply a 100% outflow rate to all notes, bonds and

other debt securities issued by the credit institution, unless the bond is

sold exclusively in the retail market and held in a retail account, in which

case those instruments can be treated as the appropriate retail deposit

category. Limitations shall be placed such that those instruments cannot

be bought and held by parties other than retail customers.01/01/2022

01/01/2022

01/01/2022

Assets borrowed on an unsecured basis and maturing within the next 30

calendar days shall be assumed to run off in full, leading to a 100%

outflow of liquid assets, unless the credit institution owns the assets

borrowed and the assets borrowed do not form part of the credit

institution's liquidity buffer.

For the purposes of this Article, ‘domestic central bank’ means any of the

following:

(a) [Note: Provision left blank]

(b) the Bank of England;

(c) the central bank of the third country in which the credit institution is

incorporated.

For the purposes of this Article, ‘eligible counterparty’ means any of the

following:

(a) the central government, a public sector entity, a regional government

or a local authority of the United Kingdom,

(b) the central government, a public sector entity, a regional government

or a local authority of the United Kingdom or of the third country in

which the credit institution is incorporated for the transactions

undertaken by that credit institution;

(c) a multilateral development bank.

However, public sector entities, regional governments and local

authorities shall only count as an eligible counterparty where they are

assigned a risk weight of 20% or lower in accordance with Article 115 or",40
Article116,"116 of CRR, as applicable.

[Note: This rule corresponds to Article 28 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

01/01/2022

1A.

01/01/202201/01/2022",41
Article29,"29 Outflows within a Group

By way of derogation from Article 31 credit institutions may apply to the

competent authority for permission to apply a lower outflow rate on a

case by case basis for undrawn credit or liquidity facilities with a

counterparty who is:

(a) the parent or subsidiary institution of the credit institution or another

subsidiary of the same parent institution or linked to the institution by

a common management relationship; and

(b) established in the United Kingdom;

(c) [Note: Provision left blank];

(d) [Note: Provision left blank].

[Note: This is a permission under section 144G of FSMA to which Part 8

of the Capital Requirements Regulations applies]

A credit institution must ensure that the lower outflow rate permitted

under paragraph (1) does not fall below the inflow rate applied by the

counterparty.

[Note: This rule corresponds to Article 29 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",42
Article30,"30 Additional Outflows

Collateral other than cash and assets referred to in Article 10 which is

credit derivatives, shall be subject to an additional outflow of 20%.

Collateral in assets referred to in Article 10(1)(f) which is posted by the

derivatives shall be subject to an additional outflow of 10%.

01/01/2022

01/01/2022

01/01/2022

The credit institution shall calculate and notify to the competent

aucon ractual conditions of which lead, within 30 calendar days and

following a material deterioration of the credit institution's credit quality, to

additional liquidity outflows or collateral needs. The credit institution shall

notify the competent authority of that outflow no later than the

relation to the potential liquidity outflows of the credit institution, it shall

require the credit institution to add an additional outflow for those

contracts corresponding to the additional collateral needs or cash

outflows resulting from a material deterioration in the credit institution's

credit quality corresponding to a downgrade in its external credit

assessment of at least three notches. The credit institution shall apply a

100% outflow rate to those additional collateral or cash outflows. The

credit institution shall regularly review the extent of this material

deterioration in the light of what is relevant under the contracts that it has

entered into and shall notify the result of its review to the ¢ etent

authority.

The credit institution shall add an additional outflow corresponding to

collateral needs that would result from the impact of an adverse market

scenario on the credit institution's derivatives transactions if material.

This calculation shall be made in accordance with Chapter 4 of the

Liquidity Coverage Ratio (CRR) Part.

Outflows and inflows expected over 30 calendar days from the contracts

listed in Annex Il to CRR and from credit derivatives shall be taken into

outflow, the credit institution shall multiply the result by a 100% outflow

rate. Credit institutions shall exclude from such calculations those

liquidity requirements that result from the application of paragraphs 1, 2

and 3 of this Article.

01/01/2022

01/01/2022

01/01/2022

Where the credit institution has a short position that is covered by an

unsecured security borrowing, the credit institution shall add an additional

outflow corresponding to 100% of the market value of the securities or

other assets sold short, unless the terms upon which the credit institution

has borrowed them require their return only after 30 calendar days.

Where the short position is covered by a collateralised securities

financing transaction, the credit institution shall assume the short position

will be maintained throughout the 30 calendar day period and will receive

a 0% outflow.

The credit institution shall add an additional outflow corresponding to

100% of:(a) the excess collateral the credit institution holds that can be

contractually called at any times by the counterparty;

(b) collateral that is due to be posted to a counterparty within 30 calendar

days;

(c) collateral that corresponds to assets that would qualify as liquid

assets for the purposes of Title Il (The Liquidity Buffer) that can be

substituted for assets corresponding to assets that would not qualify

as liquid assets for the purposes of Title Il (The Liquidity Buffer)

without the consent of the credit institution.

Deposits received as collateral shall not be considered as liabilities for

the purposes of Article 24, 25, 27, 28 or 31a but shall be subject to the

amount of cash received exceeding the amount of cash received as

collateral shall be treated as deposits in accordance with Article 24, 25,

27, 28 or 31a.

Credit institutions shall assume a 100% outflow for loss of funding on

asset-backed securities, covered bonds and other structured financing

instruments maturing within 30 calendar days, when these instruments

01/01/2022

01/01/2022

01/01/2022

12.

01/01/2022

are issued by the credit institution itself or by conduits or SPVs

sponsored by the credit institution.

Credit institutions shall assume a 100% outflow for loss of funding on

asset-backed commercial papers, conduits, securities investment

vehicles and other such financing facilities. This 100% outflow rate shall

apply to the maturing amount or to the amount of assets that could

potentially be returned or the liquidity required.

For that portion of financing programs under pi s 8 and 9, credit

institutions that are providers of associated liquidity facilities do not need

to double count the maturing financing instrument and the liquidity facility

for consolidated programs.

In relation to the provision of prime brokerage services, where a credit

institution has covered the short sales of a client by internally matchingthem with the assets of another client and the assets do not qualify as

liquid assets, those transactions shall be subject to a 50% outflow rate for

the contingent obligation.

[Note: This rule corresponds to Article 30 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",43
